dataset,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
GunPoint,7.5,11.5,9.5,7.5,11.5,9.5,5.5,1.5,3.5,5.5,1.5,3.5
GunPointAgeSpan,1.5,6.5,6.5,1.5,6.5,6.5,6.5,6.5,11.5,6.5,6.5,11.5
GunPointMaleVersusFemale,8.5,11.5,8.5,8.5,11.5,8.5,4.5,4.5,1.5,4.5,4.5,1.5
GunPointOldVersusYoung,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Ham,11.5,7.5,9.5,11.5,7.5,9.5,1.5,5.5,3.5,1.5,5.5,3.5
HandMovementDirection,11.5,9.5,5.5,11.5,9.5,5.5,1.5,3.5,7.5,1.5,3.5,7.5
Handwriting,7.5,11.5,9.5,7.5,11.5,9.5,1.5,3.5,5.5,1.5,3.5,5.5
Haptics,5.5,1.5,3.5,5.5,1.5,3.5,9.5,7.5,11.5,9.5,7.5,11.5
Herring,3.5,9.5,5.5,3.5,9.5,5.5,7.5,11.5,1.5,7.5,11.5,1.5
HouseTwenty,3.5,11.5,9.5,3.5,11.5,9.5,5.5,1.5,7.5,5.5,1.5,7.5
InlineSkate,5.5,9.5,3.5,5.5,9.5,3.5,1.5,7.5,11.5,1.5,7.5,11.5
InsectEPGRegularTrain,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
InsectEPGSmallTrain,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
InsectWingbeatSound,5.5,11.5,9.5,5.5,11.5,9.5,3.5,7.5,1.5,3.5,7.5,1.5
ItalyPowerDemand,6.5,9.5,11.5,6.5,9.5,11.5,3.5,1.5,6.5,3.5,1.5,6.5
LSST,9.5,7.5,11.5,9.5,7.5,11.5,1.5,5.5,3.5,1.5,5.5,3.5
LargeKitchenAppliances,7.5,9.5,11.5,7.5,9.5,11.5,4.5,4.5,1.5,4.5,4.5,1.5
Libras,10.5,5.5,7.5,10.5,5.5,7.5,10.5,2.5,2.5,10.5,2.5,2.5
Lightning2,1.5,3.5,6.5,1.5,3.5,6.5,6.5,9.5,11.5,6.5,9.5,11.5
Lightning7,5.5,3.5,1.5,5.5,3.5,1.5,7.5,11.5,9.5,7.5,11.5,9.5
Mallat,2.5,5.5,2.5,2.5,5.5,2.5,8.5,11.5,8.5,8.5,11.5,8.5
Meat,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
MedicalImages,5.5,1.5,3.5,5.5,1.5,3.5,7.5,9.5,11.5,7.5,9.5,11.5
MiddlePhalanxOutlineAgeGroup,1.5,3.5,5.5,1.5,3.5,5.5,7.5,11.5,9.5,7.5,11.5,9.5
MiddlePhalanxOutlineCorrect,11.5,9.5,7.5,11.5,9.5,7.5,3.5,5.5,1.5,3.5,5.5,1.5
MiddlePhalanxTW,10.5,6.5,10.5,10.5,6.5,10.5,3.5,1.5,6.5,3.5,1.5,6.5
MixedShapesRegularTrain,7.5,9.5,11.5,7.5,9.5,11.5,3.5,1.5,5.5,3.5,1.5,5.5
MixedShapesSmallTrain,11.5,7.5,9.5,11.5,7.5,9.5,1.5,3.5,5.5,1.5,3.5,5.5
MoteStrain,4.5,11.5,9.5,4.5,11.5,9.5,4.5,7.5,1.5,4.5,7.5,1.5
NATOPS,11.5,9.5,7.5,11.5,9.5,7.5,5.5,3.5,1.5,5.5,3.5,1.5
OSULeaf,5.5,9.5,11.5,5.5,9.5,11.5,7.5,3.5,1.5,7.5,3.5,1.5
OliveOil,6.5,6.5,9.5,6.5,6.5,9.5,11.5,1.5,3.5,11.5,1.5,3.5
PenDigits,7.5,9.5,11.5,7.5,9.5,11.5,3.5,1.5,5.5,3.5,1.5,5.5
PhalangesOutlinesCorrect,7.5,9.5,11.5,7.5,9.5,11.5,1.5,3.5,5.5,1.5,3.5,5.5
Phoneme,9.5,1.5,3.5,9.5,1.5,3.5,7.5,5.5,11.5,7.5,5.5,11.5
PigAirwayPressure,1.5,3.5,5.5,1.5,3.5,5.5,9.5,7.5,11.5,9.5,7.5,11.5
PigArtPressure,1.5,3.5,11.5,1.5,3.5,11.5,5.5,7.5,9.5,5.5,7.5,9.5
PigCVP,6.5,1.5,9.5,6.5,1.5,9.5,6.5,3.5,11.5,6.5,3.5,11.5
Plane,9.5,4.5,1.5,9.5,4.5,1.5,9.5,9.5,4.5,9.5,9.5,4.5
PowerCons,2.5,8.5,8.5,2.5,8.5,8.5,8.5,2.5,8.5,8.5,2.5,8.5
ProximalPhalanxOutlineAgeGroup,1.5,7.5,9.5,1.5,7.5,9.5,3.5,11.5,5.5,3.5,11.5,5.5
ProximalPhalanxOutlineCorrect,7.5,9.5,11.5,7.5,9.5,11.5,3.5,1.5,5.5,3.5,1.5,5.5
ProximalPhalanxTW,11.5,9.5,1.5,11.5,9.5,1.5,3.5,5.5,7.5,3.5,5.5,7.5
RacketSports,9.5,5.5,11.5,9.5,5.5,11.5,1.5,3.5,7.5,1.5,3.5,7.5
RefrigerationDevices,7.5,5.5,1.5,7.5,5.5,1.5,3.5,9.5,11.5,3.5,9.5,11.5
Rock,7.5,9.5,11.5,7.5,9.5,11.5,3.5,1.5,5.5,3.5,1.5,5.5
ScreenType,5.5,11.5,7.5,5.5,11.5,7.5,2.5,9.5,2.5,2.5,9.5,2.5
SemgHandGenderCh2,9.5,7.5,11.5,9.5,7.5,11.5,3.5,5.5,1.5,3.5,5.5,1.5
SemgHandMovementCh2,5.5,9.5,11.5,5.5,9.5,11.5,7.5,3.5,1.5,7.5,3.5,1.5
SemgHandSubjectCh2,11.5,9.5,7.5,11.5,9.5,7.5,3.5,5.5,1.5,3.5,5.5,1.5
ShapeletSim,5.5,1.5,3.5,5.5,1.5,3.5,9.5,11.5,7.5,9.5,11.5,7.5
ShapesAll,9.5,6.5,11.5,9.5,6.5,11.5,2.5,2.5,6.5,2.5,2.5,6.5
SmallKitchenAppliances,7.5,11.5,9.5,7.5,11.5,9.5,1.5,3.5,5.5,1.5,3.5,5.5
SmoothSubspace,7.5,1.5,7.5,7.5,1.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
SonyAIBORobotSurface1,6.5,11.5,9.5,6.5,11.5,9.5,6.5,2.5,2.5,6.5,2.5,2.5
SonyAIBORobotSurface2,8.5,5.5,11.5,8.5,5.5,11.5,2.5,2.5,8.5,2.5,2.5,8.5
StandWalkJump,10.5,3.5,3.5,10.5,3.5,3.5,7.5,3.5,10.5,7.5,3.5,10.5
Strawberry,8.5,8.5,3.5,8.5,8.5,3.5,5.5,1.5,11.5,5.5,1.5,11.5
SwedishLeaf,7.5,11.5,9.5,7.5,11.5,9.5,5.5,3.5,1.5,5.5,3.5,1.5
Symbols,2.5,8.5,2.5,2.5,8.5,2.5,8.5,8.5,8.5,8.5,8.5,8.5
SyntheticControl,11.5,7.5,4.5,11.5,7.5,4.5,9.5,1.5,4.5,9.5,1.5,4.5
ToeSegmentation1,11.5,9.5,7.5,11.5,9.5,7.5,5.5,2.5,2.5,5.5,2.5,2.5
ToeSegmentation2,1.5,3.5,5.5,1.5,3.5,5.5,7.5,11.5,9.5,7.5,11.5,9.5
Trace,8.5,11.5,8.5,8.5,11.5,8.5,5.5,1.5,3.5,5.5,1.5,3.5
TwoLeadECG,11.5,7.5,3.5,11.5,7.5,3.5,9.5,5.5,1.5,9.5,5.5,1.5
TwoPatterns,5.5,11.5,9.5,5.5,11.5,9.5,7.5,3.5,1.5,7.5,3.5,1.5
UMD,8.5,5.5,3.5,8.5,5.5,3.5,11.5,8.5,1.5,11.5,8.5,1.5
UWaveGestureLibrary,10.5,7.5,10.5,10.5,7.5,10.5,4.5,4.5,1.5,4.5,4.5,1.5
UWaveGestureLibraryAll,5.5,9.5,11.5,5.5,9.5,11.5,1.5,7.5,3.5,1.5,7.5,3.5
UWaveGestureLibraryX,3.5,7.5,11.5,3.5,7.5,11.5,1.5,5.5,9.5,1.5,5.5,9.5
UWaveGestureLibraryY,11.5,7.5,9.5,11.5,7.5,9.5,1.5,5.5,3.5,1.5,5.5,3.5
UWaveGestureLibraryZ,11.5,7.5,9.5,11.5,7.5,9.5,1.5,3.5,5.5,1.5,3.5,5.5
Wafer,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,1.5,7.5,7.5,1.5
Wine,4.5,10.5,10.5,4.5,10.5,10.5,1.5,4.5,7.5,1.5,4.5,7.5
WordSynonyms,7.5,5.5,2.5,7.5,5.5,2.5,11.5,2.5,9.5,11.5,2.5,9.5
Worms,9.5,3.5,11.5,9.5,3.5,11.5,1.5,7.5,5.5,1.5,7.5,5.5
WormsTwoClass,9.5,1.5,3.5,9.5,1.5,3.5,7.5,5.5,11.5,7.5,5.5,11.5
Yoga,11.5,6.5,9.5,11.5,6.5,9.5,3.5,6.5,1.5,3.5,6.5,1.5
